id,date,price,area,rooms,half rooms,area_balcony,street,district,type
31749043,2022-08-02,116.0,90,3,0,0.0,Újlipótváros,XIII,tegla
31747521,2022-08-02,36.6,59,2,0,0.0,Karácsony Sándor utca,VIII,tegla
31743764,2022-08-02,49.9,61,1,2,0.0,Szerencs utca,XV,tegla
31741022,2022-08-02,56.0,81,2,1,4.0,Thököly út,XIV,tegla
31736952,2022-08-02,55.0,54,2,0,0.0,Gyulai Pál utca,VIII,tegla
31736702,2022-08-02,16.5,31,1,0,0.0,Kőris utca,VIII,tegla
31732064,2022-08-02,22.0,61,1,1,0.0,Magdolna utca,VIII,tegla
31731908,2022-08-02,119.0,110,2,0,0.0,Városház utca,V,tegla
31730251,2022-08-02,169.9,69,3,0,3.0,Szalag utca,I,tegla
31728775,2022-08-02,55.0,49,2,0,0.0,Király utca,VII,tegla
31728401,2022-08-02,39.8,41,1,0,0.0,Tinódi utca,IX,tegla
31728070,2022-08-02,115.0,82,2,1,0.0,Paulay Ede utca 65,VI,tegla
31722375,2022-08-02,79.9,81,4,0,0.0,Radnóti Miklós utca,XIII,tegla
31722356,2022-08-02,91.9,113,3,1,0.0,Hevesi Sándor tér,VII,tegla
31722339,2022-08-02,91.52,69,2,1,0.0,Kazinczy utca 13,VII,tegla
31721044,2022-08-02,159.0,116,5,0,0.0,Király utca 77,VII,tegla
31714512,2022-08-02,108.0,115,5,0,5.0,Katona József utca,XIII,panel
31714002,2022-08-02,31.5,33,1,0,0.0,Rozsnyay utca,XIII,tegla
31708993,2022-08-02,63.9,63,2,0,4.0,Bajnok utca,VI,tegla
31708508,2022-08-02,27.0,55,1,1,0.0,Hungária körút,XIV,tegla
31707156,2022-08-02,42.9,45,2,0,0.0,Osvát utca 19,VII,tegla
31705798,2022-08-02,45.0,49,3,0,0.0,Mester utca,IX,tegla
31703474,2022-08-02,399.0,170,6,1,40.0,Belváros,V,tegla
31702594,2022-08-02,66.0,65,2,1,11.0,Lemberg utca,XVII,tegla
31695193,2022-08-02,66.4,102,3,0,0.0,Práter utca,VIII,tegla
31693778,2022-08-02,69.5,104,3,1,0.0,Baross utca,VIII,tegla
31691577,2022-08-02,49.9,49,2,0,0.0,Somogyi Béla utca 17,VIII,tegla
31681388,2022-08-02,43.77,40,1,0,2.0,Janicsár utca,XIII,tegla
31680710,2022-08-02,54.9,39,1,1,0.0,Lázár utca,VI,tegla
31679599,2022-08-02,44.9,49,2,0,0.0,Belső-Terézváros,VI,tegla
31679034,2022-08-02,64.0,64,3,0,0.0,Remetehegyi út,III,tegla
31675812,2022-08-02,64.99,55,2,0,0.0,Villányi út,XI,tegla
31675467,2022-08-02,33.5,30,1,0,8.0,Kőbányai út 43,X,tegla
31674795,2022-08-02,41.5,56,1,1,5.5,Mester utca,IX,tegla
31672814,2022-08-02,289.0,199,6,0,3.0,Országút,II,tegla
31663871,2022-08-02,99.0,74,3,0,20.0,Akácfa utca,VII,tegla
31662964,2022-08-02,87.9,140,3,0,0.0,József utca,VIII,tegla
31660003,2022-08-02,160.0,208,4,0,0.0,Nagymező utca,VI,tegla
31657639,2022-08-02,52.5,68,3,0,0.0,Füredi utca 11,XIV,panel
31655897,2022-08-02,61.5,79,3,0,0.0,Gyertyaláng utca,IV,tegla
31654083,2022-08-02,59.9,41,1,1,0.0,Káldy Gyula utca,VI,tegla
31646138,2022-08-02,129.9,101,4,0,0.0,Bercsényi utca 15,XI,tegla
31635482,2022-08-02,57.9,57,2,0,3.0,Fiastyúk utca,XIII,tegla
31632551,2022-08-02,98.9,177,5,1,5.0,Józsefváros - Csarnoknegyed,VIII,tegla
