id,date,price,area,rooms,half rooms,area_balcony,street,district,type
33054853,2022-08-01,380000,100,4,0,7.0,Széher út 88,II,tegla
32845242,2022-08-01,470000,135,4,0,70.0,Vérhalom,II,tegla
32331693,2022-08-01,345000,78,2,1,8.0,Baross utca,VIII,tegla
21143660,2022-08-01,250000,77,3,0,0.0,Margó Tivadar utca 274-276,XVIII,tegla
32462942,2022-08-01,120000,19,1,0,0.0,Koronafürt utca 44/B,XVI,szoba
32294534,2022-08-01,115000,20,1,0,0.0,Koronafürt utca 44b,XVI,szoba
32402474,2022-08-01,50000,20,1,0,0.0,Semmelweis utca 13,V,szoba
32295529,2022-08-01,40000,20,1,0,0.0,Semmelweis utca 11,V,szoba
32402438,2022-08-01,70000,12,1,0,0.0,Semmelweis utca 13,V,szoba
32158401,2022-08-01,400000,82,1,2,12.0,Stefánia út,XIV,tegla
32984968,2022-08-01,404000,85,4,0,6.0,Eper utca,XI,tegla
32791835,2022-08-01,270000,50,2,0,0.0,Liszt Ferenc tér,VI,tegla
32363676,2022-08-01,165000,35,1,0,8.0,Lágymányos,XI,tegla
33054966,2022-08-01,210000,58,2,0,4.0,Lónyay utca 36,IX,tegla
33043951,2022-08-01,160000,28,1,0,16.0,Hungária körút,XIV,tegla
33038056,2022-08-01,145000,31,1,0,1.0,Szabolcs utca 26-28.,XIII,tegla
21881155,2022-08-01,180000,41,1,0,0.0,Irinyi József utca,XI,tegla
24100798,2022-08-01,150000,30,1,0,0.0,Stollár Béla utca 12/B,V,tegla
32945894,2022-08-01,160000,50,1,0,20.0,Rókavár utca,III,tegla
32428305,2022-08-01,250000,60,2,0,20.0,Felső Zöldmáli út,II,tegla
32411357,2022-08-01,135000,36,1,1,0.0,Nagy Lajos király útja,XIV,tegla
33057639,2022-08-01,155000,72,2,0,0.0,Rétihéja utca,XVII,tegla
33057559,2022-08-01,300000,78,3,0,0.0,Bakáts utca 5,IX,tegla
33055875,2022-08-01,150000,23,1,0,0.0,Városmajor utca 20,XII,tegla
33041317,2022-08-01,220000,52,2,0,0.0,Margitliget utca,III,panel
33041014,2022-08-01,200000,42,1,1,6.0,Kelenföld,XI,tegla
30509788,2022-08-01,135000,34,1,0,0.0,Ipoly utca,XIII,tegla
24994443,2022-08-01,155000,30,1,1,0.0,Országház utca,I,tegla
32985010,2022-08-01,200000,31,1,0,3.0,Apáczai Csere János utca,V,tegla
33051432,2022-08-01,240000,40,2,0,0.0,Sobieski János utca,IX,tegla
32331693,2022-08-01,345000,78,2,1,8.0,Baross utca,VIII,tegla
32408676,2022-08-01,260000,101,2,1,0.0,Jókai tér,VI,tegla
32929825,2022-08-01,3100000,153,3,0,21.0,Vérhalom utca,II,csuszozsalus
31790801,2022-08-01,345000,78,2,1,8.0,Baross utca 98,VIII,tegla
33054383,2022-08-01,285000,60,2,1,0.0,Pálya utca,I,tegla
33037638,2022-08-01,320000,44,1,0,0.0,Mátyás utca,IX,tegla
32237613,2022-08-01,235000,42,2,0,4.0,Frangepán utca 62.,XIII,tegla
32433371,2022-08-01,250000,54,2,0,14.0,Budapart tér,XI,tegla
32225915,2022-08-01,660000,90,2,0,90.0,Stefánia út,XIV,tegla
26316973,2022-08-01,485040,120,4,0,8.0,Szent István park,XIII,tegla
33053780,2022-08-01,260000,68,3,0,3.0,Kárpát utca,XIII,panel
33026943,2022-08-01,260000,60,2,0,20.0,Cserei utca,XIV,tegla
32984434,2022-08-01,200000,41,1,0,1.0,Iglói utca,XI,tegla
