id,date,price,area,rooms,half rooms,area_balcony,street,district,type
32996942,2022-07-28,175000,29,1,0,5.0,Folyamőr utca 19,III,tegla
32996933,2022-07-28,150000,33,1,0,0.0,Haller utca,IX,tegla
32996894,2022-07-28,160000,56,1,1,4.0,Tas vezér utca,XI,tegla
32996715,2022-07-28,170000,45,1,0,0.0,Klauzál tér,VII,tegla
32996432,2022-07-28,200000,111,3,1,1.0,Katona József utca 41,XIII,tegla
32996153,2022-07-28,560000,89,3,0,35.0,Víziváros - Váralja,I,tegla
32996023,2022-07-28,160000,56,1,2,0.0,Dugonics utca,IV,panel
32995958,2022-07-28,165000,58,1,0,0.0,Podmaniczky utca,VI,tegla
32995888,2022-07-28,433000,70,2,0,0.0,Dohány utca,VII,tegla
32995695,2022-07-28,323280,75,3,0,4.0,Dob utca,VII,tegla
32995458,2022-07-28,130000,29,1,0,0.0,Marek József utca 4,VII,tegla
32995437,2022-07-28,533000,100,3,0,20.0,Angyalföld - Országbíró utcai lakótelep,XIII,tegla
32995338,2022-07-28,280000,56,2,0,13.0,Vizafogó - Marinapart,XIII,tegla
32995197,2022-07-28,280500,62,3,0,8.0,Középső-Erzsébetváros,VII,tegla
32994833,2022-07-28,110000,40,1,0,0.0,Szent László tér 3,IV,tegla
32994721,2022-07-28,470000,81,3,0,0.0,Gellérthegy,I,tegla
32994713,2022-07-28,1400000,210,6,0,0.0,Pálvölgy - Látóhegy,II,tegla
32994614,2022-07-28,78000,63,3,0,3.0,Mohai köz,XI,szoba
32994566,2022-07-28,160000,28,1,0,0.0,Balassi Bálint utca 9-11,V,tegla
32994373,2022-07-28,280000,42,1,0,0.0,Corvin sétány 3,VIII,tegla
32994353,2022-07-28,250000,31,1,0,4.0,Corvin sétány,VIII,tegla
32994311,2022-07-28,350000,77,3,0,8.0,Dayka Gábor utca,XI,tegla
32994219,2022-07-28,727380,70,3,0,38.0,Vizafogó - Marinapart,XIII,tegla
32994211,2022-07-28,195000,39,1,0,0.0,Sas utca,V,tegla
32994203,2022-07-28,727380,67,3,0,11.0,Naphegy utca,I,tegla
32994185,2022-07-28,380000,90,2,1,4.0,Katona József utca 41,XIII,szoba
32994013,2022-07-28,130000,52,1,0,6.0,Vízisport utca 11,XX,tegla
32993888,2022-07-28,160000,48,1,1,0.0,József körút,VIII,tegla
32993805,2022-07-28,464715,103,3,0,0.0,Veres Pálné utca,V,tegla
32993344,2022-07-28,1400000,210,6,0,18.0,Pálvölgy - Látóhegy,II,tegla
32993261,2022-07-28,350000,75,2,0,20.0,Orbánhegy,XII,tegla
32993241,2022-07-28,199000,44,2,0,3.0,Márton utca,IX,tegla
32993237,2022-07-28,250000,92,3,0,0.0,Üllői út,IX,tegla
32992950,2022-07-28,646560,95,3,0,0.0,Zsolt utca,I,tegla
32992719,2022-07-28,195000,52,2,0,8.0,Király utca 110,VI,tegla
32992329,2022-07-28,470000,122,3,0,6.0,Városház utca,V,tegla
32991937,2022-07-28,565740,82,3,0,0.0,Úri utca,I,tegla
32991832,2022-07-28,686970,137,2,1,12.0,Lechner Ödön fasor 2,IX,tegla
32991650,2022-07-28,404100,45,2,0,9.0,Szabolcs utca 23-25,XIII,tegla
32991620,2022-07-28,640000,125,3,2,15.0,Zöldkő utca,II,tegla
32991522,2022-07-28,130000,55,2,0,0.0,Harmat köz,X,tegla
32991259,2022-07-28,140000,33,1,0,8.0,Leonardo da Vinci utca,VIII,tegla
32990707,2022-07-28,501084,88,3,0,0.0,Szépvölgyi út,III,tegla
32989915,2022-07-28,135000,28,1,0,0.0,Cházár András utca 19,XIV,tegla
32989896,2022-07-28,200000,49,2,0,8.0,Ernő utca 21,IX,tegla
32989730,2022-07-28,160000,45,1,0,0.0,Üllői út,IX,tegla
32989685,2022-07-28,280000,60,2,0,5.0,Szemere utca 10,V,tegla
32989670,2022-07-28,150000,36,1,0,0.0,Hajdú köz 9,XIII,tegla
32989334,2022-07-28,120000,36,1,1,0.0,Havanna utca 50,XVIII,panel
32989330,2022-07-28,330000,95,4,0,2.0,Rákóczi tér,VIII,tegla
32989291,2022-07-28,145000,28,1,0,0.0,Dohány utca 3,VII,tegla
32989289,2022-07-28,150000,35,1,0,0.0,Lánchíd utca,I,tegla
32989276,2022-07-28,170000,43,1,0,0.0,Lánchíd utca,I,tegla
32989260,2022-07-28,280000,81,3,0,0.0,Erzsébet körút,VII,tegla
32989246,2022-07-28,449000,107,4,0,0.0,Gönczy Pál utca,IX,tegla
32989125,2022-07-28,130000,50,2,0,0.0,Üllői út 365,XVIII,tegla
32989078,2022-07-28,450000,97,3,1,0.0,Lipótváros,V,tegla
32989019,2022-07-28,1434555,220,3,1,12.0,Liszt Ferenc tér 2,VI,tegla
32988859,2022-07-28,250000,85,3,0,0.0,Illyés Gyula utca 2-4,XV,tegla
32988852,2022-07-28,200000,36,1,0,0.0,József körút,VIII,tegla
32988702,2022-07-28,350000,47,2,0,0.0,Németvölgyi út,XII,tegla
32988492,2022-07-28,190000,57,2,0,0.0,Visegrádi utca,XIII,tegla
32988286,2022-07-28,490000,90,3,0,0.0,Váci utca,V,tegla
32988268,2022-07-28,140000,43,1,1,2.0,Koronafürt utca,XVI,tegla
32988131,2022-07-28,120000,30,1,0,0.0,Gergely utca,X,panel
32988035,2022-07-28,320000,75,3,0,0.0,Lipótmező,II,tegla
32987887,2022-07-28,350000,78,2,1,21.0,Bóbita utca 6,III,tegla
32987364,2022-07-28,120000,30,1,0,0.0,Hegedű utca,VI,tegla
32987346,2022-07-28,210000,70,3,0,0.0,Rákosfalva park 5,XIV,panel
32987305,2022-07-28,285000,64,2,0,0.0,Arany János utca,V,tegla
32987134,2022-07-28,195000,60,2,0,2.0,Csörsz utca,XII,tegla
32987044,2022-07-28,484920,113,5,2,2.0,Bródy Sándor utca 26,VIII,tegla
32987011,2022-07-28,140000,22,1,0,0.0,Visegrádi utca 105,XIII,tegla
32986975,2022-07-28,53000,30,2,0,5.0,Liget tér,X,szoba
32986702,2022-07-28,490000,90,2,1,0.0,Váci utca,V,tegla
32986619,2022-07-28,190000,68,3,0,3.0,Vörösvári út 37.,III,panel
32986443,2022-07-28,160000,50,1,0,20.0,Rókavár utca,III,tegla
32986371,2022-07-28,600000,160,5,0,3.0,Középső-Ferencváros - Rehabilitációs terület,IX,tegla
32986161,2022-07-28,250000,70,2,0,6.0,Panoráma utca,XXII,tegla
32986146,2022-07-28,1000000,113,3,0,70.0,Úszódaru utca,XIII,tegla
32985885,2022-07-28,303075,86,3,0,4.0,Víg utca 32,VIII,tegla
32985500,2022-07-28,725000,120,4,0,14.0,Folyondár utca,III,tegla
32985500,2022-07-28,725000,120,4,0,14.0,Folyondár utca,III,tegla
32985084,2022-07-28,160000,57,2,0,0.0,Jakab József utca,XIII,panel
32985033,2022-07-28,350000,75,2,0,6.0,Huszt utca,XIV,tegla
32984914,2022-07-28,1050660,100,3,0,105.0,Szemlőhegy,II,tegla
32984911,2022-07-28,500000,68,3,1,0.0,Sörház utca,V,tegla
32984907,2022-07-28,400000,58,1,1,8.0,Csángó utca 21/B,XIII,tegla
32984875,2022-07-28,600000,109,4,1,0.0,Ráday utca,IX,tegla
32984823,2022-07-28,750000,120,4,0,14.0,Krisztinaváros,I,tegla
32984650,2022-07-28,484920,76,3,0,8.0,Eszter utca,II,tegla
32983889,2022-07-28,360000,45,1,1,20.0,Szabadság tér,V,tegla
32983753,2022-07-28,330000,60,2,0,3.0,Németvölgyi út,XII,tegla
32983708,2022-07-28,220000,92,3,0,0.0,Rózsa utca 37,VII,tegla
32983702,2022-07-28,215000,55,2,0,0.0,Mikó utca,I,tegla
32982652,2022-07-28,808200,126,4,0,12.0,Belváros,V,tegla
32982483,2022-07-28,80000,12,1,0,0.0,Pozsony utca,XIX,szoba
32982129,2022-07-28,727380,90,4,0,0.0,Pálvölgy,II,tegla
32981771,2022-07-28,250000,50,2,1,5.0,Angyalföldi út,XIII,tegla
32981713,2022-07-28,622248,111,3,1,50.0,Zöldlomb utca,II,tegla
32981692,2022-07-28,295000,70,2,0,0.0,József Attila utca,V,tegla
32981538,2022-07-28,480000,98,3,1,0.0,Külső-Terézváros,VI,tegla
32980848,2022-07-28,260000,63,2,0,0.0,Ponty utca,I,tegla
32980579,2022-07-28,110000,28,1,0,0.0,Dankó utca,VIII,tegla
32980520,2022-07-28,484920,106,3,0,0.0,Vámház körút,IX,tegla
32980410,2022-07-28,360000,68,2,0,18.0,Szépilona,II,tegla
32980292,2022-07-28,230000,44,1,1,6.0,Lőportár köz,XIII,tegla
32980268,2022-07-28,60000,16,1,0,0.0,Allende park,XI,szoba
32979746,2022-07-28,250000,60,2,0,9.0,Lipótváros,V,tegla
32979602,2022-07-28,250000,74,1,2,8.0,Pesti út 20,XVII,csuszozsalus
32979564,2022-07-28,150000,36,1,0,6.0,Stoczek utca 19,XI,tegla
32979524,2022-07-28,135000,24,1,0,0.0,Rózsa utca,VII,tegla
32979319,2022-07-28,100000,25,1,0,0.0,Bethlen Gábor utca,VII,tegla
32979275,2022-07-28,120000,48,2,0,2.0,Kerék utca 4,III,panel
32978930,2022-07-28,350000,55,1,2,6.0,Csörsz utca 23,XII,tegla
32978921,2022-07-28,500000,75,1,2,45.0,Rahó utca,XI,tegla
32978777,2022-07-28,1010250,171,5,0,30.0,Mártonhegy,XII,tegla
32978666,2022-07-28,300000,65,2,0,3.0,Beethoven utca,XII,tegla
32978411,2022-07-28,235000,60,1,2,2.0,Bécsi út 193,III,tegla
32978373,2022-07-28,140000,27,1,0,0.0,Jókai utca,XIX,panel
32978020,2022-07-28,360000,68,2,0,0.0,Budakeszi út,II,tegla
32977967,2022-07-28,215000,48,2,0,0.0,Kelenföld,XI,tegla
32977914,2022-07-28,170000,39,1,1,3.0,Lehel utca,XIX,tegla
32977849,2022-07-28,140000,34,1,0,0.0,Sobieski János utca 36,IX,tegla
32977361,2022-07-28,250000,79,2,1,0.0,Ráday utca,IX,tegla
32977342,2022-07-28,250000,80,2,1,0.0,Ráday utca,IX,tegla
32977305,2022-07-28,152000,25,1,0,0.0,Zivatar utca 5,II,tegla
32976378,2022-07-28,65000,25,2,1,0.0,Ferenc körút,IX,szoba
32976347,2022-07-28,165000,49,2,0,2.0,Pusztaszeri út,II,tegla
32976195,2022-07-28,380000,67,2,0,7.0,Orsó utca,II,tegla
32975960,2022-07-28,200000,42,2,0,8.0,Jász utca,XIII,tegla
32975733,2022-07-28,160000,54,2,0,5.0,Kerepesi út 176,XVI,tegla
32975510,2022-07-28,240000,53,2,0,16.0,Melinda út 24,XII,tegla
32975059,2022-07-28,270000,65,1,2,11.0,Forrásmajori utca 1,XVII,tegla
32974982,2022-07-28,349000,85,1,3,200.0,Orsó utca,II,tegla
32974833,2022-07-28,350000,88,3,0,0.0,Péterfy Sándor utca,VII,tegla
32974820,2022-07-28,380000,79,3,0,0.0,Székely Mihály utca,VI,tegla
32974629,2022-07-28,404100,75,3,0,3.0,Sobieski János utca,IX,tegla
32974615,2022-07-28,560000,100,4,0,8.0,Kárpát utca,XIII,tegla
32974110,2022-07-28,220000,94,2,0,0.0,Teréz körút 36,VI,tegla
32973948,2022-07-28,57000,20,1,0,43.0,Késmárki utca,XI,szoba
32973795,2022-07-28,606150,95,3,0,0.0,Szent István körút,XIII,tegla
32973535,2022-07-28,404100,95,3,0,3.0,Jászai Mari tér,XIII,tegla
32973188,2022-07-28,200000,66,2,0,3.0,Dunakeszi utca,IV,panel
32973102,2022-07-28,1131480,179,4,0,11.0,Magyar utca,V,tegla
32972883,2022-07-28,340000,65,2,0,0.0,Belgrád rakpart 20,V,tegla
32972719,2022-07-28,600000,132,4,0,0.0,Szendrő utca,XII,tegla
32972583,2022-07-28,180000,45,1,1,3.0,Tarcali utca,XI,tegla
32972289,2022-07-28,323280,72,2,1,0.0,Jászai Mari tér,XIII,tegla
32972040,2022-07-28,620000,160,6,0,0.0,Baross utca 59,VIII,tegla
32971939,2022-07-28,280000,85,3,0,8.0,Vasút utca,XVIII,tegla
32971580,2022-07-28,340000,80,1,4,0.0,Thököly út 14.,VII,tegla
32971332,2022-07-28,260000,104,3,0,0.0,Népszínház utca,VIII,tegla
32971250,2022-07-28,210000,91,2,0,0.0,Böszörményi út,XII,tegla
32971210,2022-07-28,250000,81,2,0,2.0,Böszörményi út,XII,tegla
32971147,2022-07-28,120000,52,1,0,0.0,Kissvábhegy,XII,tegla
32971142,2022-07-28,110000,28,1,0,0.0,Dugonics utca 15,VIII,tegla
32971076,2022-07-28,220000,64,2,2,0.0,Visegrádi utca,XIII,tegla
32970682,2022-07-28,160000,67,1,1,4.0,Kosciuszkó Tádé utca,I,tegla
32970650,2022-07-28,160000,57,2,1,0.0,Nagy Győry István köz,XX,csuszozsalus
32970385,2022-07-28,220000,56,1,0,0.0,Falk Miksa utca 10,V,tegla
32970358,2022-07-28,250000,50,2,0,8.0,Bulcsú utca,XIII,tegla
32970094,2022-07-28,195000,43,1,0,0.0,József Attila utca,V,tegla
32969674,2022-07-28,650000,130,3,0,0.0,Molnár utca,V,tegla
32969094,2022-07-28,200000,66,2,1,0.0,Karinthy Frigyes út,XI,tegla
32969088,2022-07-28,200000,66,2,1,0.0,Karinthy Frigyes út,XI,tegla
32968948,2022-07-28,150000,29,1,0,0.0,Villányi út,XI,tegla
32968828,2022-07-28,330000,100,3,0,7.0,Károly körút,VII,tegla
32968826,2022-07-28,120000,25,1,2,0.0,Diószegi Sámuel utca,VIII,tegla
32968664,2022-07-28,561699,63,2,0,4.0,Hajós utca 26,VI,tegla
32968614,2022-07-28,440000,123,3,0,25.0,Törökverő út,XI,tegla
32968537,2022-07-28,480000,160,2,2,15.0,Szurdok utca,XI,tegla
32968471,2022-07-28,850000,200,5,0,0.0,József nádor tér,V,tegla
32968094,2022-07-28,285000,65,2,0,0.0,Arany János utca,V,tegla
32966534,2022-07-28,363690,150,4,0,3.0,Mester utca 1,IX,tegla
32966452,2022-07-28,590000,85,3,0,64.0,Székely Mihály utca 7,VI,tegla
32965951,2022-07-28,280000,70,3,0,0.0,Teréz körút,VI,tegla
32965861,2022-07-28,250000,82,2,2,8.0,Orló utca,II,tegla
32965731,2022-07-28,323280,85,3,0,0.0,Ráday utca,IX,tegla
32965560,2022-07-28,200000,44,1,1,6.0,Teve utca 12-14,XIII,tegla
32965508,2022-07-28,808200,93,3,0,10.0,Bakator utca,XI,tegla
32965451,2022-07-28,1212300,123,5,0,28.0,Bakator utca,XI,tegla
32965398,2022-07-28,767790,122,3,0,4.0,Bécsi utca,V,tegla
32965352,2022-07-28,160000,40,1,1,0.0,Fürj utca,XII,tegla
32965160,2022-07-28,450000,140,4,1,25.0,Vajda Péter utca,VIII,tegla
32964759,2022-07-28,250000,42,1,1,3.0,Corvin sétány,VIII,tegla
32964402,2022-07-28,250000,60,2,0,0.0,Batthyány utca,I,tegla
32964033,2022-07-28,350000,109,3,0,0.0,Vérmező út,I,tegla
32963711,2022-07-28,170000,17,1,0,0.0,Arany János utca,V,tegla
32963691,2022-07-28,280000,49,1,0,0.0,Arany János utca,V,tegla
32963486,2022-07-28,50000,20,1,0,0.0,Dózsa György utca,II,szoba
32963230,2022-07-28,190000,83,2,1,1.5,Bécsi út,III,tegla
32963022,2022-07-28,220000,51,2,0,18.0,Danubius utca,XIII,tegla
32962567,2022-07-28,250000,62,1,2,6.0,Madarász Viktor utca 13,XIII,tegla
32962547,2022-07-28,500000,72,3,0,11.0,Garda utca,XI,tegla
32962446,2022-07-28,390000,93,3,1,6.0,Madarász Viktor utca,XIII,tegla
32962330,2022-07-28,230000,90,2,0,4.0,Hunyadi János út,I,tegla
32962266,2022-07-28,175000,53,2,0,1.0,Nagy Lajos király útja 74,XIV,tegla
32962203,2022-07-28,220000,64,3,0,8.0,Aszály utca,XXII,tegla
32962052,2022-07-28,160000,42,1,0,0.0,Ráday utca,IX,tegla
32961905,2022-07-28,105000,28,1,0,0.0,Komáromi utca,XXI,panel
32961832,2022-07-28,165000,40,1,0,0.0,Hársfa utca,VII,tegla
32961741,2022-07-28,1616400,250,7,0,30.0,Tóth Lőrinc utca,XII,tegla
32961661,2022-07-28,262665,45,2,0,6.0,Szabolcs utca 5-9,XIII,panel
32961611,2022-07-28,120000,25,1,0,0.0,Nagysándor József utca 100,XX,szoba
32961285,2022-07-28,170000,46,1,1,0.0,Lisznyai utca,I,tegla
32961279,2022-07-28,230000,56,2,0,6.0,Danubius utca,XIII,tegla
32961255,2022-07-28,383895,54,2,0,12.0,Bessenyei utca,XIII,tegla
32961046,2022-07-28,170000,51,2,0,0.0,Újlak utca,XVII,panel
32960432,2022-07-28,195000,43,1,0,0.0,József Attila utca,V,tegla
32960307,2022-07-28,135000,48,1,1,5.0,Lehel utca 6,XIX,tegla
32960224,2022-07-28,296400,70,2,0,0.0,József Attila utca 16.,V,tegla
32960175,2022-07-28,400000,110,2,1,2.0,Lipótváros,V,tegla
32960147,2022-07-28,290000,68,3,0,6.0,Szabolcs utca 23-25,XIII,tegla
32959934,2022-07-28,460000,73,2,0,8.0,Ménesi út,XI,tegla
32959610,2022-07-28,180000,71,2,0,1.0,Nefelejcs utca,VII,tegla
32959522,2022-07-28,2020500,220,3,0,50.0,Lipótváros,V,tegla
32959457,2022-07-28,250000,120,2,1,6.0,Vörösmarty utca,II,tegla
32959324,2022-07-28,390000,107,2,1,0.0,Attila út,I,tegla
32958750,2022-07-28,220000,40,1,0,0.0,Attila út,I,tegla
32958714,2022-07-28,450000,55,1,2,0.0,Alkotmány utca,V,tegla
32958689,2022-07-28,240000,77,2,1,0.0,Szinyei Merse utca 27,VI,tegla
32958649,2022-07-28,484920,144,4,0,0.0,Istenhegy,XII,tegla
32958003,2022-07-28,242460,51,2,0,0.0,Szív utca 59,VI,tegla
32957739,2022-07-28,160000,42,1,1,5.0,Szederkény utca,XIV,tegla
32957621,2022-07-28,195000,46,2,0,3.0,Sobieski János utca 19,IX,tegla
32957566,2022-07-28,2828700,130,4,0,120.0,Cserje utca,II,tegla
32957384,2022-07-28,169000,34,1,0,3.0,Berzenczey utca,IX,tegla
32957324,2022-07-28,250000,53,2,0,0.0,Kanizsai utca,XI,tegla
32957199,2022-07-28,242460,64,2,0,0.0,Ferenczy István utca,V,tegla
32957065,2022-07-28,560000,100,4,0,8.0,Kárpát utca,XIII,tegla
32956950,2022-07-28,1131480,133,4,0,0.0,Virányos,XII,tegla
32956491,2022-07-28,160000,29,1,0,5.0,Agancs út 30-32.,XII,csuszozsalus
32956060,2022-07-28,450000,90,3,0,0.0,Zichy Jenő utca,VI,tegla
32955913,2022-07-28,45000,12,1,0,0.0,Majori út,XXIII,szoba
32955688,2022-07-28,200000,72,2,1,0.0,Utász utca 4,XIV,tegla
32955638,2022-07-28,285000,64,2,0,0.0,Arany János utca 7,V,tegla
32955359,2022-07-28,160000,75,3,0,0.0,Bécsi út,III,tegla
32955335,2022-07-28,45000,16,1,0,3.0,Birtok utca,XIV,szoba
32955288,2022-07-28,150000,36,1,0,8.0,Kaszáló utca 45,XVII,panel
32955213,2022-07-28,120000,44,1,0,0.0,Hernád utca 24,VII,tegla
32954940,2022-07-28,969840,170,5,0,50.0,Kissvábhegy,XII,tegla
32954868,2022-07-28,727380,100,4,0,0.0,Kútvölgy,XII,tegla
32954692,2022-07-28,145000,32,1,1,0.0,Hajdú utca 48,XIII,panel
