id,date,price,area,rooms,half rooms,area_balcony,street,district,type
33046594,2022-08-02,325000,48,2,0,12.0,Mikes Kelemen utca 30-38,XI,tegla
21143660,2022-08-02,250000,77,3,0,0.0,Margó Tivadar utca 274-276,XVIII,tegla
32462942,2022-08-02,120000,19,1,0,0.0,Koronafürt utca 44/B,XVI,szoba
32294534,2022-08-02,115000,20,1,0,0.0,Koronafürt utca 44b,XVI,szoba
32402474,2022-08-02,50000,20,1,0,0.0,Semmelweis utca 13,V,szoba
32295529,2022-08-02,40000,20,1,0,0.0,Semmelweis utca 11,V,szoba
32402438,2022-08-02,70000,12,1,0,0.0,Semmelweis utca 13,V,szoba
32158401,2022-08-02,400000,82,1,2,12.0,Stefánia út,XIV,tegla
32984968,2022-08-02,404000,85,4,0,6.0,Eper utca,XI,tegla
32791835,2022-08-02,270000,50,2,0,0.0,Liszt Ferenc tér,VI,tegla
32154438,2022-08-02,180000,34,1,0,0.0,Bikszádi utca,XI,tegla
32154568,2022-08-02,200000,47,2,0,0.0,Bikszádi utca,XI,tegla
33043951,2022-08-02,160000,28,1,0,16.0,Hungária körút,XIV,tegla
33038056,2022-08-02,145000,31,1,0,1.0,Szabolcs utca 26-28.,XIII,tegla
21881155,2022-08-02,180000,41,1,0,0.0,Irinyi József utca,XI,tegla
32945894,2022-08-02,160000,50,1,0,20.0,Rókavár utca,III,tegla
32428305,2022-08-02,250000,60,2,0,20.0,Felső Zöldmáli út,II,tegla
33034389,2022-08-02,360000,83,3,0,0.0,Visegrádi utca 3.,XIII,tegla
33060070,2022-08-02,250000,5,5,0,0.0,Fény utca 16,II,tegla
33059664,2022-08-02,340000,62,2,0,12.0,Bimbó út,II,tegla
33057639,2022-08-02,155000,72,2,0,0.0,Rétihéja utca,XVII,tegla
33057559,2022-08-02,300000,78,3,0,0.0,Bakáts utca 5,IX,tegla
33055875,2022-08-02,150000,23,1,0,0.0,Városmajor utca 20,XII,tegla
33041317,2022-08-02,220000,52,2,0,0.0,Margitliget utca,III,panel
33041014,2022-08-02,200000,42,1,1,6.0,Kelenföld,XI,tegla
33033099,2022-08-02,225000,51,2,0,5.0,Szugló utca,XIV,tegla
32277471,2022-08-02,180000,49,2,0,4.0,Lecke utca,XI,tegla
30509788,2022-08-02,135000,34,1,0,0.0,Ipoly utca,XIII,tegla
27896639,2022-08-02,170000,41,2,0,2.0,Babér utca,XIII,tegla
24994443,2022-08-02,155000,30,1,1,0.0,Országház utca,I,tegla
32985010,2022-08-02,200000,31,1,0,3.0,Apáczai Csere János utca,V,tegla
33051432,2022-08-02,240000,40,2,0,0.0,Sobieski János utca,IX,tegla
32408676,2022-08-02,260000,101,2,1,0.0,Jókai tér,VI,tegla
33037638,2022-08-02,320000,44,1,0,0.0,Mátyás utca,IX,tegla
32237613,2022-08-02,235000,42,2,0,4.0,Frangepán utca 62.,XIII,tegla
32167453,2022-08-02,160000,60,2,0,4.0,Rumbach Sebestyén utca,VII,tegla
28041230,2022-08-02,340000,80,3,0,2.0,Pengő utca 3,II,tegla
32225915,2022-08-02,660000,90,2,0,90.0,Stefánia út,XIV,tegla
26316973,2022-08-02,477516,120,4,0,8.0,Szent István park,XIII,tegla
32999329,2022-08-02,300000,75,3,0,0.0,Szentkirályi utca,VIII,tegla
32984434,2022-08-02,200000,41,1,0,1.0,Iglói utca,XI,tegla
33008575,2022-08-02,250000,48,2,0,4.0,Allende park,XI,panel
33016712,2022-08-02,250000,48,2,0,4.0,Allende park,XI,panel
33053780,2022-08-02,260000,68,3,0,3.0,Kárpát utca,XIII,panel
33030592,2022-08-02,313240,65,3,0,3.0,Lehel utca,XIII,tegla
33000670,2022-08-02,250000,48,2,0,4.0,Allende park,XI,panel
33034433,2022-08-02,235000,54,2,0,0.0,Fehérvári út,XI,tegla
33058243,2022-08-02,310000,67,4,0,5.0,Teve utca 33,XIII,tegla
33058219,2022-08-02,295000,64,3,0,15.0,Teve utca 33,XIII,tegla
33059320,2022-08-02,295000,64,3,0,15.0,Fáy utca,XIII,tegla
33059331,2022-08-02,310000,67,4,0,5.0,Fáy utca,XIII,tegla
33058867,2022-08-02,280000,62,3,0,5.0,Berettyó utca 2,XIII,tegla
33032805,2022-08-02,280000,74,3,0,8.0,Angol utca 89,XIV,tegla
33049440,2022-08-02,130000,30,1,0,0.0,Mosztár utca,XIV,tegla
27386259,2022-08-02,140000,22,1,0,0.0,Népszínház utca 16,VIII,szoba
33058897,2022-08-02,140000,46,1,1,0.0,Szentmihályi út,XIV,panel
32363676,2022-08-02,165000,35,1,0,8.0,Lágymányos,XI,tegla
33029338,2022-08-02,480000,145,3,0,60.0,Hidász utca,II,tegla
28676849,2022-08-02,675000,100,4,0,10.0,Dolgos utca,XII,tegla
23509304,2022-08-02,300000,120,3,0,30.0,Perényi út,III,tegla
33053350,2022-08-02,250000,45,2,0,4.0,Pápay István utca,IX,tegla
32944067,2022-08-02,380000,85,3,0,10.0,Számadó utca,XI,tegla
32028740,2022-08-02,477516,125,3,0,20.0,Pasarét,II,tegla
26994743,2022-08-02,477516,110,3,0,10.0,Szépvölgy,II,tegla
32904211,2022-08-02,675000,100,4,0,10.0,Dolgos utca,XII,tegla
23402167,2022-08-02,230000,68,3,0,0.0,Ráday utca,IX,tegla
33051000,2022-08-02,240000,54,2,0,8.0,Teve utca,XIII,tegla
31953925,2022-08-02,399000,106,3,1,16.0,Éva utca,XI,tegla
32978534,2022-08-02,200000,60,2,0,8.0,Fő utca 35,I,tegla
32999033,2022-08-02,1094308,177,3,0,0.0,Irányi utca,V,tegla
33052847,2022-08-02,974929,139,4,0,0.0,Belső-Terézváros,VI,tegla
33056429,2022-08-02,230000,58,3,0,3.0,Bakáts tér,IX,tegla
33048382,2022-08-02,974929,165,3,0,0.0,Irányi utca,V,tegla
33046500,2022-08-02,140000,35,1,1,0.0,Kmety György utca,VI,tegla
33033111,2022-08-02,300000,120,2,1,20.0,Remetehegy,III,tegla
32963544,2022-08-02,595000,97,4,0,6.0,Dolgos utca,XII,tegla
33058020,2022-08-02,177500,34,1,0,10.0,Teve utca 33,XIII,tegla
33058228,2022-08-02,177500,34,1,0,10.0,Fáy utca,XIII,tegla
33058048,2022-08-02,155000,28,1,0,4.0,Fáy utca,XIII,tegla
32927079,2022-08-02,69000,39,1,0,0.0,Honvéd utca,XVIII,tegla
33058039,2022-08-02,155000,28,1,0,4.0,Teve utca 33,XIII,tegla
33059313,2022-08-02,210000,40,2,0,6.0,Fáy utca,XIII,tegla
33057830,2022-08-02,210000,52,1,1,9.0,Előpatak utca,XI,panel
31578533,2022-08-02,875446,141,4,0,164.0,Alvinci út,II,tegla
32989208,2022-08-02,250000,78,2,0,2.0,Keleti Károly utca,II,tegla
33058071,2022-08-02,210000,41,2,0,4.0,Teve utca 33,XIII,tegla
33060546,2022-08-02,160000,35,1,1,6.0,Mester utca,IX,tegla
33053134,2022-08-02,330000,73,2,1,3.0,Tulipán utca,II,tegla
33056724,2022-08-02,155000,40,1,1,0.0,Dési Huber utca,IX,tegla
32825294,2022-08-02,557102,143,3,0,4.0,Szentkirályi utca,VIII,tegla
31604595,2022-08-02,330000,72,3,0,1.0,Tulipán utca,II,tegla
33045686,2022-08-02,410000,70,3,0,10.0,Corvin sétány 5,VIII,tegla
33047470,2022-08-02,220000,68,2,1,10.0,Margit körút 24,II,tegla
33034411,2022-08-02,150000,46,1,1,0.0,Tihany utca,XIV,panel
33045075,2022-08-02,290000,75,3,0,10.0,Visegrádi utca,XIII,tegla
33033439,2022-08-02,560000,143,3,0,4.0,Szentkirályi utca,VIII,tegla
